Fecha;Portafolio;ASSETCLASS;Numtit;Titulo; Nominal ; VPNOrigen ; VPNLocal 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;743;BCHB07169B07; 500.000.000 ; 536.255.000 ; 536.255.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;744;BISA1169C8; 409.000.000 ; 443.634.120 ; 443.634.120 
28/02/2019;ACUAVALLE;D PUB FIJA;746;TFIT10040522; 250.000.000 ; 275.457.500 ; 275.457.500 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;751;BSIS01149C06; 500.000.000 ; 509.725.000 ; 509.725.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;752;BCCB04169C10; 500.000.000 ; 529.515.000 ; 529.515.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;753;BCSA01169C10; 500.000.000 ; 540.515.000 ; 540.515.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;758;TUVT06170419; 2.000.000 ; 2.079.100 ; 545.404.482 
28/02/2019;ACUAVALLE;BONOS FIJOS;761;BISG0116S5A7; 300.000.000 ; 324.870.000 ; 324.870.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;764;TUVT11070525; 1.000.000 ; 1.073.130 ; 281.511.188 
28/02/2019;ACUAVALLE;D PUB FIJA;771;TFIT16180930; 500.000.000 ; 550.550.000 ; 550.550.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;778;BCSA2179C005; 400.000.000 ; 405.716.000 ; 405.716.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;782;CDTFIJO; 300.000.000 ; 309.453.000 ; 309.453.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;783;BEEB1179A007; 800.000.000 ; 813.672.000 ; 813.672.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;784;CDTFIJO; 400.000.000 ; 412.740.000 ; 412.740.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;785;BCOS517SE005; 300.000.000 ; 330.558.000 ; 330.558.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;786;BDVI3179C096; 200.000.000 ; 207.880.000 ; 207.880.000 
